w_t,l_t,electrode_length,electrode_width,w_c,l_c,Q,V,d,Vac_ground,freq,m_c
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41866.173604726115,4.06104991782145
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41866.68028419536,4.41785624425626
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41867.11271077639,4.773599278658788
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41867.48661303593,5.1281934006029655
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41867.813592294006,5.481553266183571
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41868.10239234889,5.833593828556877
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41868.3597275822,6.184230358409752
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41868.59083882537,6.533378464352438
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41868.79987597897,6.880954113229755
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41868.990167270844,7.226873650346409
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41869.16441249396,7.571053819600952
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41869.324824140094,7.91341178352393
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41869.47323211571,8.253865143215286
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41869.611162552625,8.592331958176135
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41869.739897894586,8.928730766030188
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41869.86052325297,9.262980602130309
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41869.97396255895,9.595001019045025
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41870.081007039895,9.924712105920639
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41870.18233785761,10.252034507714312
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41870.278544259,10.576889444293172
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41870.370138244645,10.899198729395264
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41870.457566510784,11.218884789447383
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41870.541220239415,11.535870682235519
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41870.62144317547,11.850080115423443
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41870.69853833212,12.161437464914675
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41870.77277358856,12.469867793053787
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41870.84438638861,12.775296866662476
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41870.91358770496,13.077651174905958
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41870.980565399565,13.37685794698566
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.04548708568,13.672845169653723
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.108502575866,13.965541604545185
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.16974598471,14.254876805323617
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.22933754212,14.540781134636328
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.287385162876,14.823185780874548
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.3439858104,15.102022774735163
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.399226685644,15.377225005579541
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.453186267216,15.648726237585802
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.50593522413,15.916461125690473
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.55753721952,16.18036523131575
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.6080496202,16.44037503787864
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.65752412526,16.696427966078144
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.70600732431,16.948462388956898
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.75354119467,17.19641764673362
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.80016354537,17.4402340614026
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.84590841477,17.67985295109717
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.890806427415,17.91521664421331
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.93488511521,18.14626849328989
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41871.97816920714,18.372952888642875
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.0206808912,18.5952152717492
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.06244005187,18.813002148378274
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.10346448573,19.026261101466737
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.14377009779,19.234940803734155
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.18337108063,19.438991030037062
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.2222800781,19.638362669456342
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.26050833538,19.83300773711806
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.29806583657,20.022879385741913
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.33496143148,20.20793191691676
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.3712029522,20.388120792099084
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.40679732082,20.5634026433329
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.44175064914,20.73373528368756
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.47606833082,20.899077717410947
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.50975512714,21.059390149796297
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.54281524654,21.214633996761062
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.575252418654,21.364771894131742
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.607069963495,21.50976770663824
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.63827085581,21.649586536609693
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.66885778551,21.784194732374356
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.69883321399,21.913559896359082
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.728199427154,22.037650892885967
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.75695858497,22.15643785566672
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.785112768186,22.26989219499125
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.81266402224,22.37798660460736
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.83961439853,22.480695068294114
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.8659659934,22.57799286612281
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.891720984924,22.669856580407092
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.9168816676,22.756264101338203
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.9414504852,22.83719463230731
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.96543006178,22.912628694910456
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41872.98882323113,22.982548133636733
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.01163306462,23.046936120237476
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.033862897704,23.105777157777386
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.055516354965,23.159057084363695
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.07659737403,23.20676307655471
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.09711022826,23.248883652446725
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.1170595484,23.285408674436376
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.13645034317,23.316329351661665
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.15528801901,23.34163824211752
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.17357839886,23.361329254446275
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.191327740235,23.375397649404515
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.20854275252,23.383840041003154
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.22523061359,23.38665439732302
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.24139898584,23.383840041003154
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.25705603169,23.375397649404515
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.27221042858,23.36132925444627
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.28687138356,23.341638242117515
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.30104864753,23.31632935166167
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.31475252914,23.285408674436376
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.327993908584,23.248883652446718
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.34078425115,23.20676307655472
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.35313562061,23.159057084363702
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.3650606928,23.105777157777386
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.376572769186,23.046936120237476
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.38768579048,22.98254813363674
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.39841435062,22.912628694910456
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.40877371113,22.837194632307316
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.418779815685,22.756264101338214
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.42844930555,22.669856580407092
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.437799535415,22.577992866122813
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.44684859009,22.48069506829411
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.455615302235,22.37798660460737
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.46411927094,22.26989219499126
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.472380881736,22.15643785566672
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.48042132792,22.037650892885974
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.4882626334,21.91355989635909
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.49592767748,21.78419473237435
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.50344022158,21.649586536609696
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.510824938174,21.50976770663824
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.51810744238,21.364771894131753
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.525314326354,21.21463399676106
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.532473196916,21.059390149796297
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.539612716544,20.89907771741094
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.54676264862,20.733735283687558
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.5539539068,20.5634026433329
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.56121860957,20.38812079209908
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.56859014011,20.207931916916774
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.5761032123,20.022879385741916
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.58379394374,19.83300773711806
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.59169993615,19.638362669456342
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.59986036446,19.438991030037055
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.60831607536,19.23494080373416
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.61710969649,19.026261101466737
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.62628575768,18.813002148378274
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.63589082549,18.595215271749222
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.64597365281,18.372952888642875
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.65658534549,18.146268493289913
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.667779547926,17.91521664421331
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.67961265029,17.679852951097196
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.69214401999,17.4402340614026
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.705436260876,17.196417646733615
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.719555503696,16.94846238895692
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.73457173206,16.69642796607815
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.75055914913,16.440375037878635
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.767596590864,16.18036523131575
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.78576799207,15.916461125690473
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.80516291391,15.648726237585802
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.8258771414,15.377225005579541
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.84801336243,15.102022774735156
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.87168194075,14.823185780874548
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.89700179815,14.540781134636328
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.92410142437,14.254876805323637
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.9531200359,13.96554160454518
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41873.9842089099,13.672845169653742
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.0175329243,13.376857946985686
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.053272341866,13.077651174905977
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.09162488421,12.775296866662497
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.13280815136,12.469867793053805
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.177062456,12.161437464914675
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.22465415654,11.85008011542346
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.275879594585,11.535870682235533
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.33106976757,11.2188847894474
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.390595901285,10.899198729395282
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.45487613063,10.576889444293174
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.524383553646,10.25203450771431
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.59965599922,9.924712105920658
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.68130794829,9.595001019045045
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.77004518329,9.262980602130332
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.86668292165,8.928730766030185
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41874.97216843934,8.592331958176135
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41875.08760953605,8.253865143215304
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41875.21431068002,7.913411783523948
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41875.35381936205,7.571053819600952
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41875.507986187986,7.226873650346409
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41875.67904370548,6.880954113229755
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41875.86971115117,6.533378464352438
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41876.08333563674,6.1842303584097715
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41876.32408547142,5.833593828556873
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41876.59721955368,5.481553266183573
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41876.90947020098,5.128193400602986
8e-06,0.0008,0.0007,2e-05,1e-05,2e-05,20000,6.4,2e-06,5.0,41877.26959935101,4.773599278658806
